System,k,D_eff,std
TRIBE,5,2.035301917290542,0.524826685325961
TRIBE,10,2.0437152591832595,0.6557504344723272
TRIBE,20,2.177607484291072,0.634101633037082
TRIBE,50,3.5035295181552204,0.6580355723862452
TRIBE,100,4.211847999250925,0.6512544663358227
TRIBE,200,4.410129287644546,0.604841513391189
TRIBE,500,4.061712223525713,0.5677161898304685
hierarchical,5,3.70649684675154,0.12630066819319474
hierarchical,10,7.6242343028588895,0.2450694325645417
hierarchical,20,13.747063506350125,0.3918156618808521
hierarchical,50,24.70220419893648,0.49698167311117725
hierarchical,100,33.127989486475485,0.4274503488380878
hierarchical,200,39.8674115132463,0.3184967724485836
hierarchical,500,45.348049212077456,0.16086847417004455
correlated,5,3.5934393585630007,0.16228419922742812
correlated,10,7.1097934017906335,0.3167479518327879
correlated,20,12.078730041800624,0.49180432018327086
correlated,50,19.528785118034392,0.6235248189202622
correlated,100,24.042735851363926,0.6245402085121493
correlated,200,26.76215158147001,0.5784149952908563
correlated,500,27.916582957638735,0.4499695173936192
sparse,5,2.4050682514517514,0.5849985457679063
sparse,10,3.7344403485335786,1.2658209093442672
sparse,20,4.921692053929575,2.1074913905196024
sparse,50,6.597314849101989,3.036867313871335
sparse,100,9.856720578775276,5.406222396784314
sparse,200,18.069708036676026,7.5229556028897315
sparse,500,37.38270273973401,4.052029404857528
manifold,5,3.7038792442089816,0.12834458293202297
manifold,10,7.6063381631316265,0.2434412762374696
manifold,20,13.709356316713416,0.388287576520151
manifold,50,24.523964627987656,0.5109632808726511
manifold,100,32.879706836351176,0.4584433865856851
manifold,200,39.529160356599604,0.33161721220411083
manifold,500,45.01408577124457,0.1732567053638596
